Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5C,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity),Adult postmaturation lifespan (yrs)
Taltapin Lake,02504BABL,Skeena,-125.3229284,54.31790807,867,2105.137444,941,40,95.7,0.842054977,88,2.2,FR,#N/A,#N/A,3,3,580.1,7.9,67.6,0.217,49.5,0.204,41,64,19.9
Tarfu,YT_Tarfu,Yukon,-133.720613,60.0568,764,419,735,11.6,33,0.049,108,9.310344828,PR,3141,7.496420048,5,1,365.0,6.1,19.2,0.066,249.1,0.058,109,117,44.6
Tatlmain,YT_Tatlmain,Yukon,-135.96807,62.598,565,3381,912,26.8,48,0.77,180.5,6.735074627,NR,#N/A,#N/A,2,1,605.7,14.8,33.0,0.102,132.3,0.090,46,51,46.8
Tchentlo Lake,00920NATR,Omineca,-125.1535459,55.19276857,870,6638.875271,877,28.86,NA,1.915979403,49,1.697851698,FR,#N/A,#N/A,5,1,531.6,11.7,29.8,0.086,185.5,0.076,83,67,28.8
Tchesinkut Lake,00601FRAN,Skeena,-125.6000653,54.09128692,743,3539.413211,1014,62,149,2.194436191,78,1.258064516,PR,#N/A,#N/A,4,3,592.8,13.9,29.8,0.078,181.8,0.068,24,26,15.7
Teslin,00007TESR,SkeenaYT,-132.549377,60.0602,682,35400,807,59,214,20.8,64,1.084745763,PR,5559,0.157033898,4,1,483.9,6.6,71.6,0.335,16.2,0.336,236,270,35.4
Tetsa Lake,00166MMUS,Peace,-124.6195827,58.44328713,1366,55.39996563,535,6.2,NA,0.003434798,210,33.87096774,NR,#N/A,#N/A,2,0,340.1,6.2,42.0,0.290,84.6,0.285,91,100,9.8
Tezzeron Lake,01581LTRE,Omineca,-124.3901433,54.68241878,766,8078.831186,1022,11,43.3,0.88867143,88,8,FR,#N/A,#N/A,3,2,635.0,16.2,22.8,0.086,269.6,0.075,76,70,25.7
Turtle Lake,00156TUTR,Skeena,-134.215037,59.83288589,684,381.1019147,776,10.53,65,0.040130032,210,19.94301994,NR,#N/A,#N/A,1,1,401.9,12.2,19.1,0.120,188.1,0.109,80,83,36.5
Tutshi Lake,00051TUTR,Skeena,-134.7115717,59.93345598,714,5266.879124,513,88,197,4.63485363,42,0.477272727,PR,#N/A,#N/A,4,3,446.8,13.2,26.9,0.085,94.4,0.075,37,95,40.4
Uncha Lake,01828FRAN,Skeena,-125.6511432,53.91579708,772,1340.038229,1005,17,36.9,0.227806499,98,5.764705882,FR,#N/A,#N/A,3,2,707.9,16.5,32.9,0.100,166.5,0.089,61,44,27.3
Upper Tootsee Lake,00354LRAN,Skeena,-130.6539251,59.87142628,1119,307.6207411,414,17,59.8,0.052295526,68,4,FR,#N/A,#N/A,2,0,320.6,7.3,33.0,0.227,83.7,0.217,40,40,18.5
Weissener Lake,00285FOXR,Omineca,-125.7669966,57.73851809,955,783.0059835,756,49,94,0.383672932,170,3.469387755,NR,#N/A,#N/A,2,2,557.3,11.2,33.0,0.109,191.8,0.097,81,81,29.1
Whitefish Lake,01006STUL,Omineca,-124.9802274,54.57480471,797,726.1080461,1021,18,29.9,0.130699448,86,4.777777778,PR,#N/A,#N/A,4,1,599.4,14.0,32.5,0.067,146.9,0.058,108,107,25.8
Witch Lake,01386NATR,Omineca,-124.479396,55.13207178,921,1552.957846,822,16.82,NA,0.26120751,88,5.231866825,NR,#N/A,#N/A,4,1,483.7,10.8,27.9,0.074,185.1,0.065,136,128,45.5
Yellowhead Lake,00802UFRA,Omineca,-118.5399058,52.86211635,1108,237.1251342,930,10,26,0.023712513,111,11.1,PR,#N/A,#N/A,4,0,441.4,7.3,39.9,0.151,153.7,0.138,54,59,20.0
